Time          1.0                  2.0                  3.0                  4.0                  4.5       
         X          U         X          U         X          U         X          U         X          U   
     20.600000  0.000000  20.600000  0.000000  20.600000  0.000000  20.600000  0.000000  20.600000  0.000000
     21.300000  0.000000  21.300000  0.000000  21.300000  0.000000  21.300000  0.000000  21.300000  0.000000
     22.000000  0.000000  22.000000  0.000000  22.000000  0.000000  22.000000  0.000000  22.000000  0.000000
     22.700000  0.000000  22.700000  0.000000  22.700000  0.000000  22.700000  0.000000  22.700000  0.000000
     23.400000  0.000000  23.400000  0.000000  23.400000  0.000000  23.400000  0.000000  23.400000  0.000000
     24.100000  0.000000  24.100000  0.000000  24.100000  0.000000  24.100000  0.000000  24.100000  0.000000
     24.800000  0.000000  24.800000  0.000000  24.800000  0.000000  24.800000  0.000000  24.800000  0.000000
     25.500000  0.000000  25.500000  0.000000  25.500000  0.000000  25.500000  0.000000  25.500000  0.000000
     26.200000  0.000000  26.200000  0.000000  26.200000  0.000000  26.200000  0.000000  26.200000  0.000000
     26.900000  0.000000  26.900000  0.000000  26.900000  0.000000  26.900000  0.000000  26.900000  0.000000
     27.600000  0.000000  27.600000  0.000000  27.600000  0.000000  27.600000  0.000000  27.600000  0.000000
     28.300000  0.000000  28.300000  0.000000  28.300000  0.000000  28.300000  0.000000  28.300000  0.000000
     29.000000  0.000000  29.000000  0.000000  29.000000  0.000000  29.000000  0.000000  29.000000  0.000000
     29.700000  0.000000  29.700000  0.000000  29.700000  0.000000  29.700000  0.000000  29.700000  0.000000
     30.400000  0.000000  30.400000  0.000000  30.400000  0.000000  30.400000  0.000000  30.400000  0.000000
     31.100000  0.000000  31.100000  0.000000  31.100000  0.000000  31.100000  0.000000  31.100000  0.000000
     31.800000  0.000000  31.800000  0.000000  31.800000  0.000000  31.800000  0.000000  31.800000  0.000000
     32.500000  0.000000  32.500000  0.000000  32.500000  0.000000  32.500000  0.000000  32.500000  0.000000
     33.200000  0.000000  33.200000  0.000000  33.200000  0.000000  33.200000  0.000000  33.200000  0.000000
     33.900000  0.000000  33.900000  0.000000  33.900000  0.000000  33.900000  0.000000  33.900000  0.000000
     34.600000  0.000000  34.600000  0.000000  34.600000  0.000000  34.600000  0.000000  34.600000  0.000000
     35.300000  0.000000  35.300000  0.000000  35.300000  0.000000  35.300000  0.000000  35.300000  0.000000
     36.000000  0.000000  36.000000  0.000000  36.000000  0.000000  36.000000  0.000000  36.000000  0.000000
     36.700000  0.000000  36.700000  0.000000  36.700000  0.000000  36.700000  0.000000  36.700000  0.000000
     37.400000  0.000000  37.400000  0.000000  37.400000  0.000000  37.400000  0.000000  37.400000  0.000000
     38.100000  0.000000  38.100000  0.000000  38.100000  0.000000  38.100000  0.000000  38.100000  0.000000
     38.800000  0.000000  38.800000  0.000000  38.800000  0.000000  38.800000  0.000000  38.800000  0.000000
     39.500000  0.000000  39.500000  0.000000  39.500000  0.000000  39.500000  0.000000  39.500000  0.000000
     40.200000  0.000000  40.200000  0.000000  40.200000  0.000000  40.200000  0.000000  40.200000  0.000000
     40.900000  0.000000  40.900000  0.000000  40.900000  0.000000  40.900000  0.000000  40.900000  0.000000
     41.600000  0.000000  41.600000  0.000000  41.600000  0.000000  41.600000  0.000000  41.600000  0.000000
     42.300000  0.000000  42.300000  0.000000  42.300000  0.000000  42.300000  0.000000  42.300000  0.000000
     43.000000  0.000000  43.000000  0.000000  43.000000  0.000000  43.000000  0.000000  43.000000  0.000000
     43.700000  0.000000  43.700000  0.000000  43.700000  0.000000  43.700000  0.000000  43.700000  0.000000
     44.400000  0.000000  44.400000  0.000000  44.400000  0.000000  44.400000  0.000000  44.400000  0.000000
     45.100000  0.000000  45.100000  0.000000  45.100000  0.000000  45.100000  0.000000  45.100000  0.000000
     45.800000  0.000000  45.800000  0.000000  45.800000  0.000000  45.800000  0.000000  45.800000  0.000000
     46.500000  0.000000  46.500000  0.000000  46.500000  0.000000  46.500000  0.000000  46.500000  0.000000
     47.200000  0.000000  47.200000  0.000000  47.200000  0.000000  47.200000  0.000000  47.200000  0.000000
     47.900000  0.000000  47.900000  0.000000  47.900000  0.000000  47.900000  0.000000  47.900000  0.000000
     48.600000  0.000000  48.600000  0.000000  48.600000  0.000000  48.600000  0.000000  48.600000  0.000000
     49.300000  0.000000  49.300000  0.000000  49.300000  0.000000  49.300000  0.000000  49.300000  0.000000
     50.000000  0.000000  50.000000  0.000000  50.000000  0.000000  50.000000  0.000000  50.000000  0.000000
     50.700000  0.000000  50.700000  0.000000  50.700000  0.000000  50.700000  0.000000  50.700000  0.000000
     51.400000  0.000000  51.400000  0.000000  51.400000  0.000000  51.400000  0.000000  51.400000  0.000000
     52.100000  0.000000  52.100000  0.000000  52.100000  0.000000  52.100000  0.000000  52.100000  0.000000
     52.800000  0.000000  52.800000  0.000000  52.800000  0.000000  52.800000  0.000000  52.800000  0.000000
     53.500000  0.000000  53.500000  0.000000  53.500000  0.000000  53.500000  0.000000  53.500000  0.000000
     54.200000  0.000000  54.200000  0.000000  54.200000  0.000000  54.200000  0.000000  54.200000  0.000000
     54.900000  0.000000  54.900000  0.000000  54.900000  0.000000  54.900000  0.000000  54.900000  0.000000
     55.600000  0.000000  55.600000  0.000000  55.600000  0.000000  55.600000  0.000000  55.600000  0.000000
     56.300000  0.000000  56.300000  0.000000  56.300000  0.000000  56.300000  0.000000  56.300000  0.000000
     57.000000  0.000000  57.000000  0.000000  57.000000  0.000000  57.000000  0.000000  57.000000  0.000000
     57.700000  0.000000  57.700000  0.000000  57.700000  0.000000  57.700000  0.000000  57.700000  0.000000
     58.400000  0.000000  58.400000  0.000000  58.400000  0.000000  58.400000  0.000000  58.400000  0.000000
     59.100000  0.000000  59.100000  0.000000  59.100000  0.000000  59.100000  0.000000  59.100000  0.000000
     59.800000  0.000000  59.800000  0.000000  59.800000  0.000000  59.800000  0.000000  59.800000  0.000000
     60.500000  0.000000  60.500000  0.000000  60.500000  0.000000  60.500000  0.000000  60.500000  0.000000
     61.200000  0.000000  61.200000  0.000000  61.200000  0.000000  61.200000  0.000000  61.200000  0.000000
     61.900000  0.000000  61.900000  0.000000  61.900000  0.000000  61.900000  0.000000  61.900000  0.000000
     62.600000  0.000000  62.600000  0.000000  62.600000  0.000000  62.600000  0.000000  62.600000  0.000000
     63.300000  0.000000  63.300000  0.000000  63.300000  0.000000  63.300000  0.000000  63.300000  0.000000
     64.000000  0.000000  64.000000  0.000000  64.000000  0.000000  64.000000  0.000000  64.000000  0.000000
     64.700000  0.000000  64.700000  0.000000  64.700000  0.000000  64.700000  0.000000  64.700000  0.000000
     65.400000  0.000000  65.400000  0.000000  65.400000  0.000000  65.400000  0.000000  65.400000  0.000000
     66.100000  0.000000  66.100000  0.000000  66.100000  0.000000  66.100000  0.000000  66.100000  0.000000
     66.800000  0.000000  66.800000  0.000000  66.800000  0.000000  66.800000  0.000000  66.800000  0.000000
     67.500000  0.000000  67.500000  0.000000  67.500000  0.000000  67.500000  0.000000  67.500000  0.000000
     68.200000  0.000000  68.200000  0.000000  68.200000  0.000000  68.200000  0.000000  68.200000  0.000000
     68.900000  0.000000  68.900000  0.000000  68.900000  0.000000  68.900000  0.000000  68.900000  0.000000
